title,directions,NER
Skor Cake,"[""Make cake according to directions on box and bake in 9 x 13-inch pan."", ""Immediately after removing from oven, poke holes all over cake and pour Eagle Brand milk and caramel sauce over top of cake."", ""Allow cake to completely cool and then ice with Cool Whip. Crush Skor candy bars and sprinkle over cake."", ""Keep refrigerated.""]","[""chocolate cake"", ""caramel sauce"", ""milk""]"
Never Fail Pie Crust(Double Pie Crust)  ,"[""Combine flour, sugar and salt."", ""Put shortening in a chilled bowl and add flour mixture."", ""Blend with pastry blender to a coarse meal."", ""Blend egg and ice cold water together, then add vinegar and blend."", ""Add to flour mixture and mix well."", ""Roll out on floured surface.""]","[""vinegar"", ""egg"", ""sugar"", ""shortening"", ""water"", ""flour"", ""salt""]"
Best Brownies,"[""Preheat oven to 350\u00b0."", ""Melt the butter."", ""Pour into mixing bowl."", ""Beat in cocoa and sugar."", ""When mixture is smooth, beat in eggs, one at a time, then add vanilla."", ""Stir in flour, salt and coconut."", ""Pour in a 9 x 13-inch greased pan."", ""Bake for 25 minutes. Let cool in pan and cut into squares."", ""Yields about 30 bars.""]","[""sugar"", ""vanilla"", ""eggs"", ""flour"", ""cocoa"", ""butter"", ""flaked coconut"", ""salt""]"
Mushroom Caps Stuffed,"[""Fry and chop stems; drain."", ""Fry and drain sausage."", ""Mix cheese and bread crumbs and add mushroom stems and cooked sausage."", ""Mix all ingredients together."", ""Fill hollowed out mushroom caps with mixture."", ""Put in shallow baking dish."", ""Add a little wine."", ""Bake at 400\u00b0 for 15 to 20 minutes until cheese is melted."", ""Serve immediately.""]","[""mozzarella cheese"", ""mushrooms"", ""bread crumbs"", ""sweet sausage""]"
Toffee Brickle,"[""Line bottom of\tlasagne"", ""size"", ""pan"", ""with soda crackers. Boil sugar and"", ""butter"", ""about"", ""8 minutes."", ""Pour over crackers. Bake at 350\u00b0"", ""for 15 minutes."", ""Remove and sprinkle with chocolate chips. Spread melted chocolate chips with a knife."", ""Cool and crack into pieces."", ""Store in an airtight container.""]","[""brown sugar"", ""unsalted soda crackers"", ""butter"", ""chocolate chips""]"
Stir Fried Veggies Medley,"[""Cut carrots and celery into thin strips."", ""Thinly slice onions. Cut broccoli into 2 X 1/2 inch pieces. Cut mushrooms into quarters or in half if they are small."", ""In five-quart or 12 inch skillet over high heat, in hot oil, cook vegies, stirring quickly and frequently, about 3 or 4 minutes."", ""Add mushrooms, water, salt and sugar.\tOther spices may be added."", ""Cover and cook 5 to 6 minutes longer until veggies are tender-crisp, stirring occasionally.""]","[""sugar"", ""salt"", ""pepper"", ""mushrooms"", ""water"", ""salad"", ""broccoli"", ""onions"", ""carrots"", ""celery stalks""]"
Bacon And Egg Breakfast Bake,"[""Preheat oven to 450\u00b0."", ""Spread bacon in bottom of 9-inch pie plate."", ""Sprinkle with cheese."", ""Beat eggs with milk and pepper. Pour over cheese."", ""Bake for 15 minutes."", ""Reduce heat to 350\u00b0. Bake for 10 to 15 minutes longer, until browned and firm in center."", ""Place pie plate on wire rack to cool for 10 minutes."", ""Cut in wedges."", ""Yields 10 servings, 249 calories per serving.""]","[""fully cooked canadian bacon"", ""pepper"", ""eggs"", ""milk"", ""muenster""]"
Spiced Tea,"[""Mix all ingredients."", ""Use 3 to 4 teaspoons of mix for mug of hot water.""]","[""instant tea"", ""sugar"", ""cloves"", ""cinnamon"", ""salt""]"
Fruit Pizza,"[""Prepare cookie dough in circular baking pan."", ""Bake according to directions; cool.""]","[""blueberries"", ""marshmallow fluff"", ""cream cheese""]"
Ham Roll-Ups,"[""Place ham slices, one on top of the other, on cutting board. Cut 1/2-inch strips lengthwise; do not separate."", ""Combine cheese and onion."", ""Spread thin layer on top of first slice of ham."", ""Roll up first strips of slice and repeat next slice, etc."", ""Makes 30 roll-ups.""]","[""cream cheese"", ""onion"", ""ham""]"
Pineapple Souffle,"[""Melt butter in pan (9 x 9-inch)."", ""Mix together the next 5 ingredients and pour into baking dish with melted butter. Sprinkle with cinnamon, 1 tablespoon sugar and roasted pecans. Bake at 300\u00b0 for 40 minutes.""]","[""bread"", ""sugar"", ""eggs"", ""cinnamon"", ""pecans"", ""milk"", ""butter"", ""pineapple""]"
Real Whipped Cream That Keeps,"[""In small ovenproof bowl, spread gelatin over water. Set bowl in a saucepan of hot water. Let stand until gelatin dissolves. Remove from saucepan. Let cool 1 minute. Whip cream until almost stiff. Add gelatin, salt and vanilla. Continue to whip until stiff. Makes 2 1/2 cups.""]","[""unflavored gelatin"", ""sugar"", ""vanilla"", ""heavy cream"", ""cold water"", ""salt""]"
Montana Mud Cake,"[""Cream first 3 ingredients."", ""Add eggs and vanilla."", ""Add flour, then add coconut and pecans."", ""Mix well."", ""Bake in floured and greased 9 x 12-inch pan in 350\u00b0 oven for 30 minutes."", ""Pour a jar of marshmallow cream over cake and top with frosting.""]","[""sugar"", ""vanilla"", ""eggs"", ""pecans"", ""flour"", ""cocoa"", ""margarine"", ""coconut""]"
Diane'S Quick Quiche,"[""To make a grilled cheese sandwich properly you must first decide what kind of bread to use, white, wheat, rye or raisin..raisin?"", ""Then consider the kind of cheese you have available, American, Swiss, Cheddar, Limburger..Limburger?"", ""You will also need butter, or oleo, or lard.. lard?"", ""A kitchen countertop will be useful, as well as a knife, spatula, an iron skillet with a lid or cover, a stove and a helper to clean up the mess when you are through.""]","[""bisquick"", ""pepper"", ""eggs"", ""swiss cheese"", ""onion"", ""crisp fried bacon"", ""basil"", ""margarine"", ""broccoli"", ""marjoram"", ""salt""]"
Egg Drop Soup,"[""In a large saucepan or Dutch oven, heat oil over medium heat. Add onion, garlic, ginger and pork; cook and stir until tender. Stir in broth, soy sauce, pepper and sesame oil; bring to a boil. Add carrots; simmer 15 minutes."", ""Add all remaining ingredients except eggs; bring to a boil."", ""Reduce heat to low."", ""Stir in eggs with a fork to separate into strands.""]","[""pepper"", ""soy sauce"", ""lean pork"", ""water chestnuts"", ""eggs"", ""onion"", ""peanut oil"", ""sesame oil"", ""ginger root"", ""chicken broth"", ""carrots"", ""frozen pea pods"", ""garlic"", ""bamboo shoots""]"
Summer Berry Sauce,"[""In a large bowl, combine juice concentrate and honey."", ""Add fruit. Toss gently to combine."", ""Store in refrigerator."", ""Makes 3 cups.""]","[""frozen raspberries"", ""blueberries"", ""fresh strawberries"", ""frozen raspberry"", ""honey""]"
Cherry Pie,"[""Cream cheese should be close to room temperature."", ""Blend milk, lemon juice and vanilla with cream cheese and pour into pie crust. Chill about 2 hours."", ""Then pour cherry pie filling on top."", ""Chill one more hour."", ""Keep refrigerated.""]","[""condensed milk"", ""graham cracker crust"", ""vanilla"", ""lemon juice"", ""cream cheese"", ""cherry pie filling""]"
Baked Bean Casserole,"[""Cook at 350\u00b0 for 1 3/4 hours in a 2-quart casserole.""]","[""vinegar"", ""regular"", ""black pepper"", ""garlic salt"", ""brown sugar"", ""catsup"", ""pork"", ""onions"", ""beans"", ""dry mustard"", ""bacon drippings"", ""salt""]"
Pumpkin Bread,"[""Mix all ingredients together in a large bowl."", ""Pour into 2 greased loaf pans."", ""Bake at 350\u00b0 for at least 1 1/4 hours."", ""Makes 2 loaves.""]","[""sugar"", ""baking powder"", ""salad oil"", ""nutmeg"", ""eggs"", ""baking soda"", ""cinnamon"", ""cloves"", ""flour"", ""pumpkin"", ""salt""]"
Fried Rice,"[""Cook and stir"", ""onions"", ""and"", ""green"", ""pepper"", ""in oil until onion is tender.\tStir in rice, mushrooms and soy sauce.\tCook over low heat"", ""for"", ""10"", ""minutes,"", ""stirring frequently, stir in beaten eggs. Cook and stir 2 to 3 minutes longer.""]","[""soy sauce"", ""salad oil"", ""eggs"", ""mushrooms"", ""onions"", ""rice"", ""green pepper""]"
Paw Paw'S Pancakes,"[""Beat eggs."", ""Add sugar and mix well."", ""Stir in flour and milk. Beat until smooth."", ""Add melted oleo and stir thoroughly."", ""Add vanilla."", ""Pour onto preheated skillet or griddle."", ""Turn when bubbles appear.""]","[""oleo"", ""sugar"", ""vanilla"", ""eggs"", ""flour"", ""milk""]"
Speedy White Clam Sauce,"[""Drain clams."", ""Heat olive oil in skillet."", ""Add garlic; brown lightly."", ""Add parsley and seasoning."", ""Heat 2 minutes."", ""Serve over cooked spaghetti.""]","[""clams"", ""parsley"", ""garlic"", ""olive oil"", ""salt""]"
Pineapple Cranberry Pie,"[""Cook fruit until cranberries burst."", ""Cranberries on bottom. Blend dry ingredients and stir into fruit."", ""Cook until thickened. Cool slightly and pour into 9-inch uncooked pie shell and bake at 350\u00b0"", ""for 30 minutes.""]","[""sugar"", ""nutmeg"", ""cranberries"", ""cinnamon"", ""flour"", ""pineapple"", ""salt""]"
Strawberry Yum-Yum,"[""Melt margarine and stir in crumbs."", ""Place half of mixture in bottom of baking dish."", ""Whip Dream Whip and cream cheese with sugar and cold milk."", ""Pour half of the Dream Whip mixture on crumbs."", ""Spread strawberries on creamed mixture."", ""Spread remainder of creamed mixture on top of strawberries."", ""Sprinkle remainder of crumbs on top."", ""Chill 3 hours or longer.""]","[""cold milk"", ""sugar"", ""graham cracker crumbs"", ""cream cheese"", ""margarine"", ""strawberries"", ""dream whip""]"
Blueberry Cream Pie,"[""Combine first 6 ingredients; beat 5 minutes at medium speed of an electric mixer or until smooth."", ""Fold in blueberries."", ""Pour filling into pastry shell."", ""Bake at 400\u00b0 for 25 minutes.""]","[""egg"", ""sugar"", ""vanilla extract"", ""commerical sour cream"", ""fresh blueberries"", ""pastry shell"", ""flour"", ""black walnuts"", ""butter"", ""salt""]"
Western Style Barbecue,"[""In saucepan, brown frankfurters in butter."", ""Add remaining ingredients."", ""Heat; stir occasionally."", ""Garnish with green pepper rings."", ""Makes about 5 cups.""]","[""frankfurters"", ""lima beans"", ""barbecue sauce"", ""campbell's chunky"", ""whole kernel golden corn"", ""butter""]"
Cheese Cake,"[""Mix first 3 ingredients."", ""Mix next 4 ingredients."", ""Whip Milnot until stiff."", ""Roll graham crackers and mix with 1 stick of oleo. Press crackers (half) into bottom of pan."", ""Combine the cream cheese mixture into the Jell-O mixture and fold in the Milnot. Put on top of graham crackers."", ""Add remaining crackers on top. Chill several hours.""]","[""oleo"", ""sugar"", ""vanilla"", ""lemon juice"", ""cream cheese"", ""graham crackers"", ""boiling water"", ""lemon jell-o"", ""pineapple""]"
Angel Food Cake,"[""Sift of sugar with flour 4 times."", ""Beat whites to a foam."", ""Add cream of tartar and salt and beat till it holds up peaks."", ""Add remaining sugar and flavoring."", ""Fold in flour.""]","[""cake flour"", ""egg white"", ""sugar"", ""vanilla"", ""almond flavoring"", ""cream of tartar"", ""salt""]"
Plum Nutty Cake,"[""Mix all ingredients together."", ""When fluffy, cook at 300\u00b0 for 1 hour or until done.""]","[""oil"", ""sugar"", ""baby food"", ""eggs"", ""cinnamon"", ""pecans"", ""flour"", ""allspice""]"
Pinto Bean Pie,"[""Mix all ingredients; pour into 3 unbaked pie shells."", ""Bake at 350\u00b0 for 35 minutes.""]","[""sugar"", ""vanilla"", ""eggs"", ""margarine"", ""pinto beans""]"
Speedy Little Devils,"[""Combine melted butter and dry cake mix."", ""Reserve 1 1/4 cups of this for top crust."", ""Pat remaining crumb mixture into ungreased 13 x 9 x 2-inch pan."", ""Top that layer with combined peanut butter and marshmallow cream."", ""Spread evenly."", ""Crumble remaining cake mixture over that."", ""Bake 20 minutes at 350\u00b0."", ""Cool; cut into bars."", ""Makes 3 dozen.""]","[""cake mix"", ""oleo"", ""marshmallow cream"", ""peanut butter""]"
Martha Washington Candy,"[""Mix together 1 box confectioners sugar, Eagle Brand milk and vanilla, then thicken with coconut and then add as many pecans as desired."", ""Mix well."", ""Put in freezer for 2 to 3 hours or until extremely stiff, then roll in balls, using the other box of confectioners sugar to roll in."", ""Set aside."", ""Melt 1/2 to 3/4 of a block of paraffin and 1 box of Baker's semi-sweet chocolate.""]","[""paraffin"", ""vanilla"", ""pecans"", ""chocolate"", ""coconut"", ""confectioners sugar"", ""milk""]"
24 Hour Salad,"[""Layer vegetables in large bowl."", ""Top with bacon bits."", ""Mix mayonnaise and sugar together and pour on top of salad, making sure top is covered completely."", ""Cover and place in refrigerator overnight."", ""Put shredded cheese on top just before serving.""]","[""head lettuce"", ""sugar"", ""bacon bits"", ""swiss cheese"", ""onion"", ""celery"", ""mayonnaise"", ""cauliflower"", ""frozen peas""]"
Rocky Road Fudge,"[""Grease 8 x 8 x 2-inch baking pan."", ""In 2-quart saucepan, melt margarine over low heat."", ""Stir in cocoa, corn syrup, water and vanilla until well blended."", ""Remove from heat."", ""Gradually stir in confectioners sugar until well blended and smooth."", ""Stir in marshmallows and nuts."", ""Turn into prepared pan."", ""Cover and refrigerate until firm."", ""Cut into squares."", ""Makes about 1 3/4 pounds.""]","[""light corn syrup"", ""vanilla"", ""unsweetened cocoa"", ""marshmallows"", ""water"", ""nuts"", ""margarine"", ""confectioners sugar""]"
Ice Cream,"[""Beat with electric mixer."", ""Put in freezer.""]","[""sugar"", ""vanilla"", ""eggs"", ""milk"", ""cream"", ""salt""]"
No Bake Persimmon Pudding,"[""Mix pulp, sugar, peanuts and marshmallows."", ""Add graham cracker crumbs."", ""Shape into roll, adding more crumbs, if needed, to retain shape."", ""Chill thoroughly."", ""Serve with whipped cream.""]","[""marshmallows"", ""graham cracker crumbs"", ""powdered sugar"", ""whipped cream"", ""peanuts"", ""persimmon pulp""]"
Fruitcake Cookies,"[""Cream butter and sugar."", ""Add eggs."", ""Add other ingredients and mix well."", ""Drop by teaspoonfuls onto a cookie sheet."", ""Bake at 300 for 20 to 30 minutes.""]","[""eggs"", ""light brown sugar"", ""cinnamon"", ""pecans"", ""candied fruit"", ""flour"", ""milk""]"
Chicken And Tortilla Casserole,"[""Boil chicken; bone and cut up meat."", ""To the meat, add onion and green pepper."", ""Mix soups, tomatoes, chili powder and garlic salt."", ""Dip each tortilla in chicken broth, then in a buttered 9 x 12-inch baking dish."", ""Place a layer of tortilla, 1/2 the chicken, 1/2 the soup mixture and 1/2 cheese."", ""Repeat layers; bake 30 to 40 minutes in 350\u00b0 oven until cheese melts.""]","[""cream of chicken soup"", ""tomatoes"", ""garlic salt"", ""chili powder"", ""cheddar cheese"", ""onion"", ""mushroom soup"", ""tortillas"", ""chicken"", ""green pepper""]"
Fruit Pizza,"[""Press out cookie dough flat on a 13-inch pizza pan or cookie sheet."", ""Bake according to package directions."", ""Cream together cream cheese and powdered sugar."", ""Spread on cooled crust."", ""Top with chopped or sliced fruits and sprinkle with coconut."", ""Yields 1 pizza.""]","[""powdered sugar"", ""coconut"", ""fresh fruits"", ""cream cheese""]"
Harvard Beets,"[""Melt fat and stir in flour."", ""Gradually add boiling water and cook until thickened, stirring constantly."", ""Add vinegar, sugar and seasonings."", ""Mix well until sugar dissolves."", ""Add beets and cook until thoroughly heated."", ""If canned beets are used, substitute 1/4 cup liquid from the can of beets for the water."", ""Makes 6 servings.""]","[""vinegar"", ""pepper"", ""brown sugar"", ""ground cloves"", ""flour"", ""boiling water"", ""butter"", ""salt""]"
Clam Chowder,"[""Dice bacon and onion. Saute in soup pot. Add remaining ingredients."", ""Heat; do not boil."", ""May be thickened, if necessary.""]","[""potatoes"", ""bacon"", ""clams"", ""onion"", ""water"", ""butter"", ""salt""]"
Easy Cranberry Relish,"[""In food processor, mix cranberries, sugar and whole orange (cutting it into 2 to 4 parts seems to work better)."", ""Mix ingredients in processor until chopped."", ""Transfer mixture into a mixing bowl and add chopped walnuts."", ""Chill and serve.""]","[""fresh cranberries"", ""orange"", ""sugar"", ""walnuts""]"
Banana Omelette,"[""Melt the butter in a skillet and saut the bananas about 5 minutes turning them frequently."", ""Remove from the pan and set aside."", ""Beat the egg yolks with the salt, cayenne pepper and milk. Beat the egg whites until stiff and fold the yolks and whites together."", ""Transfer to a buttered 7 x 10 inch shallow casserole and arrange the banana slices on top."", ""Bake in a 350 degree oven for 20 minutes or until lightly browned."", ""Sprinkle with parsley and serve from the casserole.""]","[""cayenne pepper"", ""eggs"", ""bananas"", ""parsley"", ""milk"", ""butter"", ""salt""]"
Taco Soup,"[""Brown hamburger with onion. Drain."", ""Add taco seasoning. Combine meat mixture with all remaining ingredients."", ""Simmer 20 minutes."", ""Serve with Cheddar cheese, sour cream, crushed corn chips and chopped avocado."", ""Let each person create their own. Delicious and fun!""]","[""kidney beans"", ""tomatoes"", ""taco"", ""onion"", ""butter beans"", ""tomato juice"", ""hamburger"", ""tomato sauce""]"
Frosty Pudding Cones,"[""In a mixing bowl, combine milk and lemon juice. Mix well."", ""Add yogurt."", ""Mix well."", ""Spoon mixture into cones."", ""Set upright in glasses or jars and place in freezer."", ""Freeze 3 hours."", ""Top each cone with 1 tablespoon whipped topping."", ""Serves 6.""]","[""condensed milk"", ""sugar"", ""lemon juice"", ""fruit yogurt"", ""whipped cream""]"
Easy Marinade,"[""Mix all ingredients together and pour over chicken. Let set as little as 1 hour or overnight for really juicy chicken.""]","[""oil"", ""red wine vinegar"", ""oregano"", ""pepper"", ""soy sauce"", ""onion"", ""basil""]"
Pina Colada Muffins,"[""Use electric mixer."", ""Prepare cake as directed on box."", ""Stir in remaining ingredients and mix 1 minute."", ""Use muffin cups or grease muffin pans well."", ""Preheat oven to 350\u00b0."", ""Bake for 15 to 20 minutes."", ""I frosted mine with cream cheese frosting.""]","[""coconut flavoring"", ""nuts"", ""coconut"", ""rum flavoring"", ""pineapple"", ""yellow cake""]"
Oriental Tossed Salad,"[""Mix all together right before serving. Serves 12 to 15.""]","[""oil"", ""red wine vinegar"", ""sugar"", ""ramen noodles"", ""soy sauce"", ""romaine lettuce"", ""broccoli florets"", ""green onion"", ""walnuts""]"
Applesauce Cake,"[""Beat the sugars (white and brown) and oil together. Add eggs and beat again. Add applesauce, raisins, salt and soda, then flour. Stir in walnuts or pecans."", ""Bake in large flat pan, 13 x 18-inches, at 350\u00b0.""]","[""oil"", ""ground raisins"", ""brown sugar"", ""eggs"", ""soda"", ""cinnamon"", ""applesauce"", ""cloves"", ""flour"", ""margarine"", ""walnuts"", ""white sugar"", ""salt""]"
Mayonnaise,"[""Mix egg yolk slightly."", ""Add oil, 1 drop at a time, until it begins to thicken, then add slowly and steadily."", ""Add lemon juice and honey."", ""Store in fridge.""]","[""oil"", ""lemon"", ""honey"", ""egg yolk""]"
Shepherd'S Pie,"[""Fry hamburg and onion until brown."", ""Drain off liquid."", ""Add salt and pepper."", ""Spoon into 1-quart casserole and place potatoes on top."", ""Put butter and paprika over potatoes."", ""Bake in a 425\u00b0 oven for 15 minutes.""]","[""potatoes"", ""pepper"", ""onion"", ""hamburg"", ""salt""]"
Fresh Apple Cake,"[""Mix all ingredients together."", ""Bake in a greased and floured 13 x 9-inch pan."", ""Bake at 350\u00b0 for 45 minutes."", ""I use a tube pan.""]","[""apple"", ""sugar"", ""vanilla"", ""shortening"", ""nutmeg"", ""eggs"", ""baking soda"", ""cinnamon"", ""flour"", ""nuts"", ""salt""]"
Brown Rice Pizza(Light)  ,"[""Combine rice, 1/2 cup cheese and 1/2 teaspoon oregano in a medium bowl."", ""Stir well."", ""Press mixture evenly into a 12-inch pizza pan coated with Pam."", ""Bake at 400\u00b0 for 25 minutes."", ""Coat a large nonstick skillet with Pam."", ""Place over medium-high heat until hot."", ""Add broccoli, zucchini, mushrooms and onion."", ""Saute until tender."", ""Combine tomato sauce and remaining oregano."", ""Spread evenly over baked crust."", ""Top with sauteed vegetable mixture. Sprinkle with remaining 1 cup cheese."", ""Bake at 400\u00b0 for 10 minutes or until pizza is thoroughly heated and cheese is melted."", ""Yields 4 servings (255 calories each).""]","[""egg"", ""oregano"", ""mozzarella cheese"", ""mushrooms"", ""onion"", ""broccoli flowerets"", ""brown rice"", ""zucchini"", ""tomato sauce""]"
Creamy Shells With Broccoli And Ham,"[""Cook shells according to package directions."", ""Slice or cube ham; cut broccoli into 1/2-inch pieces."", ""Saute garlic, ham and broccoli in margarine in a large skillet until broccoli is crisp and tender (approximately 5 minutes)."", ""Stir in cream."", ""Cook over medium heat 3 minutes."", ""Stir in cheese."", ""Lower heat and cook, stirring often, until cheese is melted."", ""Drain shells and toss with sauce."", ""Serve.""]","[""macaroni"", ""heavy cream"", ""parmesan cheese"", ""ham"", ""clove garlic"", ""margarine"", ""frozen broccoli""]"
Chicken Over Rice,"[""Boil all ingredients until tender."", ""Serve over rice.""]","[""potatoes"", ""soy sauce"", ""bell peppers"", ""onion"", ""celery"", ""chicken broth""]"
Meatball Chop Suey,"[""Mix ground beef, bread crumbs, milk, 2 tablespoons onion, egg, salt and pepper."", ""Shape into 24 meatballs and brown in lard or drippings."", ""Pour off drippings."", ""Dissolve bouillon cubes in hot water; add bouillon, remaining onion, soy sauce and celery to meatballs."", ""Cover tightly and cook slowly for 15 minutes."", ""Remove meatballs.""]","[""mushroom stems"", ""egg"", ""pepper"", ""soy sauce"", ""onion"", ""lard"", ""water"", ""celery"", ""cold water"", ""cornstarch"", ""bean sprouts"", ""milk"", ""rice"", ""ground beef"", ""bread crumbs"", ""salt""]"
Vegetable Beef Soup,"[""Add beef, tomatoes, soup and onion in crock-pot."", ""Add water, frozen vegetables, potatoes and celery."", ""Add salt and pepper and other spices of preference."", ""Stir well."", ""Cook at lowest setting for 4 to 6 hours.""]","[""potatoes"", ""tomatoes"", ""pepper"", ""onion"", ""tomato soup"", ""water"", ""mixed vegetables"", ""celery"", ""ground beef"", ""salt""]"
Hawaiian Marshmallow Pie,"[""Microwave marshmallows and reserved 1/2 cup pineapple liquid in large microwave safe bowl on High 2 to 2 1/2 minutes, or until smooth when stirred, stirring halfway through heating time. Refrigerate 30 minutes or until slightly thickened; mix until well blended."", ""Fold in pineapple and whipped topping."", ""Pour into crust. Refrigerate several hours or overnight."", ""Garnish with pineapple chunks and maraschino cherries."", ""Makes 6 servings.""]","[""graham cracker crumb crust"", ""pineapple"", ""marshmallows""]"
Sugar-Free Sweet-N-Sour Stir-Fry,"[""Cook vegetables 2 minutes and add water chestnuts and green pepper."", ""Cook until crisp and add Sweet-N-Sour Sauce.""]","[""cabbage"", ""water chestnuts"", ""stalks celery"", ""onion"", ""green pepper"", ""carrots"", ""n"", ""vegetable oil"", ""zucchini""]"
Graham Cracker Bars,"[""Preheat oven to 350\u00b0."", ""Grease pan."", ""Divide graham crackers into smallest part and put into bottom of pan."", ""Melt together the butter and margarine."", ""Add 1/2 c sugar boil for 2 minutes."", ""Remove from heat add pecans (as many as desired)."", ""Mix and pour over graham crackers."", ""Bake for 6 minutes on the bottom rack.""]","[""sugar"", ""crackers"", ""pecans"", ""margarine"", ""butter""]"
Red Cabbage,"[""Saute the onion in the bacon drippings or olive oil until tender."", ""Add the cabbage and saute 10 minutes."", ""Add the apples, wine vinegar, sugar and salt."", ""Simmer, covered, 2 hours."", ""Stir and check for burning."", ""Add the jelly and simmer 1/2 hour more.""]","[""bacon"", ""wine vinegar"", ""sugar"", ""currant jelly"", ""onion"", ""red cabbage"", ""cooking apples"", ""salt""]"
Ambrosia Salad,"[""Drain pineapple, oranges and cherries, put in bowl and mix all ingredients together."", ""Put in refrigerator.""]","[""sour cream"", ""marshmallows"", ""flaked coconut"", ""maraschino cherries"", ""mandarin oranges"", ""pineapple""]"
Sour Cream Pound Cake,"[""Mix sugar, margarine and Crisco."", ""Add eggs, one at a time. Beat on low."", ""Add flour, sour cream and vanilla."", ""Bake at 325\u00b0 for about 1 hour and 15 minutes.""]","[""cake flour"", ""vanilla flavoring"", ""sour cream"", ""sugar"", ""crisco"", ""eggs"", ""margarine""]"
Soft Delicious Pumpkin Bars,"[""Bake at 350\u00b0 for 25 to 30 minutes.""]","[""oil"", ""baking powder"", ""sugar"", ""eggs"", ""cinnamon"", ""soda"", ""flour"", ""nuts"", ""pumpkin"", ""salt""]"
Barbecue Sauce,"[""Combine tomato sauce, brown sugar, vinegar, onion, salt, pepper and garlic powder."", ""Simmer on medium heat 5 to 8 minutes.""]","[""vinegar"", ""brown sugar"", ""onion"", ""garlic powder"", ""tomato sauce"", ""salt""]"
Sausage Strata,"[""Arrange bread in bottom of greased baking dish (10 x 6-inch). Brown sausage and drain off fat."", ""Spoon sausage evenly over bread. Sprinkle with cheese."", ""Combine remaining ingredients and pour over all."", ""Bake at 350\u00b0 for 25 to 30 minutes."", ""Can be made ahead and refrigerated until needed."", ""If so, bake for 30 to 35 minutes.""]","[""bread"", ""pepper"", ""nutmeg"", ""eggs"", ""swiss cheese"", ""milk"", ""light cream"", ""sausage"", ""worcestershire sauce"", ""salt""]"
Pepperoni Spaghetti,"[""Combine onion, green pepper, ground beef and pepperoni in a large skillet."", ""Cook over medium heat until beef browns, stirring to crumble."", ""Add spaghetti sauce and bring to a boil."", ""Cover, reduce heat and simmer 20 minutes, stirring occasionally.""]","[""spaghetti"", ""mozzarella cheese"", ""parmesan cheese"", ""mushrooms"", ""onion"", ""ground beef"", ""green pepper"", ""pepperoni""]"
Florida Punch,"[""Bring to a boil the sugar and water until sugar is dissolved. Add cranberry, pineapple and orange juices."", ""When ready to serve, add ginger ale.""]","[""sugar"", ""cranberry juice"", ""water"", ""pineapple juice"", ""orange juice"", ""ginger ale""]"
"""Peachy"" Cake","[""Beat eggs."", ""Then add flour, oil, vanilla, sugar, baking powder and juice."", ""Beat at medium speed until creamy."", ""Grease and flour or spray with \""Pam\"" a 10-inch tubular pan."", ""Pour 1/2 batter; line with sliced peaches (drained), 1/2 can."", ""Sprinkle sugar and cinnamon."", ""Pour remaining batter."", ""Line with remaining sliced peaches; sprinkle with sugar and cinnamon."", ""Bake at 350\u00b0 for 1 to 1 1/2 hours, until \""tester\"" comes out of cake dry."", ""(I use a long knife.) Enjoy!""]","[""oil"", ""peach juice from"", ""sugar"", ""vanilla"", ""baking powder"", ""eggs"", ""flour"", ""peaches""]"
Fruity Ice,"[""Mix ingredients in blender, adding ice slowly.""]","[""cinnamon"", ""applesauce"", ""bananas"", ""oranges"", ""crushed ice""]"
Five Way Chili,"[""Lightly brown beef. Add water and mix. Add all other ingredients. Simmer, uncovered, 3 hours. Stir occasionally or cook in crock-pot.""]","[""vinegar"", ""ground cumin"", ""salt"", ""chili powder"", ""water"", ""bay leaves"", ""ground allspice"", ""ground beef"", ""ground cinnamon"", ""worcestershire sauce"", ""tomato sauce""]"
Hot Tomatoes And Cucumbers,"[""Cook and stir cucumbers and onion in butter or margarine in a skillet for about 5 minutes. Stir in tomatoes."", ""Sprinkle with salt and pepper. Cook until tomatoes are just heated through. Sprinkle with dill and serve hot.""]","[""tomatoes"", ""pepper"", ""cucumbers"", ""onion"", ""fresh dill"", ""butter"", ""salt""]"
Fluffy White Icing,"[""Mix all ingredients together, except milk."", ""Beat at high speed; slowly add milk.""]","[""egg"", ""sugar"", ""crisco"", ""vanilla"", ""flour"", ""milk"", ""butter""]"
Dishpan Cookies,"[""Cream together the sugars, oil and eggs."", ""Add baking powder, salt, flour and oats; mix well."", ""Then add coconut, corn flakes, chocolate chips and nuts (optional)."", ""Mix well."", ""Drop on cookie sheet."", ""Bake 10 to 12 minutes at 325\u00b0."", ""This takes a very large bowl to mix in.""]","[""oil"", ""cooking oats"", ""sugar"", ""baking powder"", ""brown sugar"", ""eggs"", ""corn flakes"", ""flour"", ""nuts"", ""coconut"", ""chocolate chips"", ""salt""]"
Toll House Pie,"[""Preheat oven to 325\u00b0."", ""In large bowl, beat eggs until foamy. Add flour, sugar and brown sugar."", ""Beat until well blended."", ""Blend in melted butter."", ""Stir in chocolate chips and walnuts."", ""Pour into pie shell."", ""Bake for 1 hour."", ""Serve warm with whipped cream or ice cream.""]","[""sugar"", ""shell"", ""eggs"", ""brown sugar"", ""all-purpose"", ""whipped cream"", ""walnuts"", ""chocolate chips"", ""butter""]"
